K1,K2,PosteriorScore,SpectralScore,FinalScore
[19],[17],371.77184183896674,780.2963279672073,453.47673906461483
[19],[19],371.9970714996782,728.6319906196425,443.324055323671
[19],[21],372.06061975003564,715.740011081446,440.7964980163177
[21],[1],365.43327687020593,731.6124849285865,438.66911848188204
[21],[3],367.5977539346529,792.518892324589,452.58198161264016
[21],[5],368.6061660097451,793.9942422546503,453.68378125872607
[21],[7],369.40790457332986,747.3907480243354,445.00447326353094
[21],[9],369.5558292251664,734.1387268754842,442.47240875522994
[21],[11],369.86272159527175,681.4167426144346,432.17352579910425
[21],[13],369.83914917000624,763.9140690190591,448.6541331398168
[21],[15],369.967578661593,758.3850748947247,447.6510779082193
[21],[17],370.45784890456514,755.7276288716919,447.5118048979905
[21],[19],370.28018555984835,693.997843260749,435.0237171000285
[21],[21],370.4850467514393,745.4272497127163,445.47348734369467
