Layer,k[0],k[1:]
10,9149624.121854952,"[6804608.122923359, 4814636.564407108, 4018692.3755037673, 3568542.0304286294, 3276148.8677061014, 3071525.004509844, 2921803.20787479, 2809250.4432809576, 2723362.261200018, 2657482.997615196, 2607176.7291095927, 2569369.165037364, 2541863.4880919605, 2523051.784850247, 2511735.175016202, 2507007.4471485987, 2508177.390864961, 2514715.5713400617, 2526217.0324935466, 2542374.670791, 2562959.9362603277, 2587808.68000108, 2616810.6938286126, 2649901.9532068223, 2687058.8799613267, 2728294.145895362, 2773653.6783856004, 2823214.6266725063, 2877084.1170672327, 2935398.6758536696, 2998324.2363382727, 3066056.6753789634, 3138822.8476278335, 3216882.1046376526, 3300528.302365035, 3390092.315549776, 3485945.091840163, 3588501.293122068, 3698223.5869695395, 3815627.668147996, 3941288.1093870103, 4075845.162978828, 4220012.661102086, 4374587.194215149, 4540458.784808576, 4718623.319942713, 4910197.062520534, 5116433.630905151, 5338743.922854483, 5578719.567406893, 5838160.623318106, 6119108.412772149, 6423884.594767481, 6755137.857583106, 7115899.962551206, 7509653.326852441, 7940412.925022393, 8412826.063554347, 8932294.604245603, 9505125.568663985, 10138717.873208195, 10841795.398980469, 11624699.947234154, 12499762.237923265, 13481775.51617384, 14588605.341551065, 15841981.954828024, 17268540.088381946, 18901198.06268114, 20781007.985375404, 22959669.040359914, 25502987.977677703, 28495714.585229814, 32048408.533807218, 36307365.85114509, 41469252.97595143, 47803156.99770284, 55684630.72721934, 65649719.34105718, 78483402.14866757, 95369603.22023678, 118156261.70878065, 149846601.02574158, 195562381.04757452, 264564505.93192124, 374855789.0109346, 564802085.1966605, 926620582.6849923, 1721481975.6548862]"
11,9307495.382673955,"[6923273.403533556, 4900135.909590134, 4091318.309413217, 3634168.2384892255, 3337460.4659901485, 3130024.582831219, 2978440.6168832406, 2864679.176982552, 2778061.779864073, 2711823.8334742114, 2661458.065570876, 2623841.9486289397, 2596745.400988117, 2578537.384907335, 2568003.040279284, 2564225.3982594833, 2566506.4462918043, 2574313.050377898, 2587239.078068346, 2604978.376204461, 2627305.2044963837, 2654059.9083917737, 2685138.35340935, 2720484.11659196, 2760082.7413785458, 2803957.5704617053, 2852166.813736886, 2904801.608006969, 2961984.896112159, 3023871.0049550533, 3090645.840670094, 3162527.6491147876, 3239768.31382674, 3322655.1836392134, 3411513.439790368, 3506709.0287487954, 3608652.203060508, 3717801.7291122675, 3834669.838577479, 3959828.0202566683, 4093913.771872461, 4237638.458117425, 4391796.453010112, 4557275.782801837, 4735070.532007545, 4926295.331813067, 5132202.319892287, 5354201.047130585, 5593881.914493471, 5853043.8583082855, 6133727.17240423, 6438252.571276277, 6769267.873476893, 7129804.037290275, 7523342.736255586, 7953898.254096299, 8426117.25332442, 8945400.993059546, 9518055.928340673, 10151480.44030875, 10854397.901383072, 11637149.626096427, 12512065.865008771, 13493939.406400025, 14600635.360476077, 15853883.52062434, 17280318.167631567, 18912857.15905851, 20792552.119925797, 22971101.721609056, 25514312.1591596, 28506932.607129157, 32059522.04415387, 36318375.70020342, 41480159.07482839, 47813958.12833023, 55695324.285000324, 65660300.98243046, 78493865.30155599, 95379938.39219463, 118166455.4890964, 149856634.61153257, 195572228.00638628, 264574128.6972623, 374865133.1952472, 564811069.9947572, 926629084.0161538, 1721489795.5848198]"
12,9469943.670716949,"[7045416.179982854, 4988186.625633163, 4166149.5355935283, 3701821.920259934, 3400699.174145926, 3190394.8450219706, 3036920.6677918583, 2921942.6483512744, 2834603.51156234, 2768026.8405143693, 2717632.198077649, 2680247.6759128347, 2653609.2277112827, 2636062.3004543856, 2626375.890710868, 2623622.285056658, 2627096.825755395, 2636262.9608415887, 2650713.775187269, 2670144.566282913, 2694333.008828759, 2723124.6548748612, 2756422.267681882, 2794177.9691844583, 2836387.497061774, 2883086.0794609487, 2934345.580658525, 2990272.672525391, 3051007.8592652082, 3116725.2360484004, 3187632.9021640867, 3263973.9804276973, 3346028.21976766, 3434114.1792894155, 3528592.0112432986, 3629866.87843816, 3738393.0597529113, 3854678.816418797, 3979292.112564355, 4112867.307033509, 4256112.960744232, 4409820.936014056, 4574877.002781838, 4752273.21323508, 4943122.363226056, 5148674.928800076, 5370338.952745765, 5609703.463921726, 5868566.147222936, 6148966.152295858, 6453223.144881576, 6783983.979751378, 7144278.727082312, 7537588.2396633625, 7967926.040332645, 8439938.083779007, 8959024.968123466, 9531492.528445452, 10164738.561522573, 10867485.885801762, 11650075.287157059, 12524836.507739425, 13506561.84248799, 14613115.91789174, 15866228.047353566, 17292532.028852522, 18924945.226811886, 20804518.753957868, 22982950.739575624, 25526046.793705523, 28518555.446434796, 32071034.95123601, 36329779.70439744, 41491454.22617388, 47825143.3015635, 55706396.91380525, 65671256.69522786, 78504697.41533387, 95390637.19692218, 118177007.21535122, 149867019.90544224, 195582419.61435866, 264584087.83934855, 374874803.6796813, 564820368.2864292, 926637881.7902608, 1721497888.0816112]"
13,9637156.340199737,"[7171180.352856984, 5078896.22186562, 4243280.607932389, 3771591.509933982, 3465950.4947819337, 3252720.2129730247, 3097327.9393998906, 2981126.5122361556, 2893074.929055229, 2826181.949975878, 2775792.1004740894, 2738682.919700891, 2712555.6884254217, 2695731.9541017115, 2686964.4249152243, 2685314.684207462, 2690071.6237896234, 2700695.6015752554, 2716779.369091928, 2738020.239816159, 2764199.983927518, 2795170.15858306, 2830841.347359717, 2871175.272707373, 2916179.067049086, 2965901.204127714, 3020428.7402646244, 3079885.6189129055, 3144431.866210401, 3214263.559864342, 3289613.4950636625, 3370752.503576413, 3457991.4087910354, 3551683.6223878413, 3652228.409230292, 3760074.867246017, 3875726.689634517, 3999747.7987274528, 4132768.9652350545, 4275495.554551393, 4428716.574476749, 4593315.23763001, 4770281.2987219095, 4960725.483990103, 5165896.400234401, 5387200.397638589, 5626224.968534946, 5884766.399482489, 6164862.564353883, 6468831.961966544, 6799320.376931518, 7159356.895319909, 7552421.462325484, 7982526.761141688, 8454317.9670237, 8973194.951808304, 9545462.870924264, 10178518.88203913, 10881085.199240476, 11663502.033186436, 12538098.57440412, 13519666.584166586, 14626070.167376995, 15879038.121623993, 17305203.727868795, 18937483.82437563, 20816928.97928536, 22995236.747722864, 25538212.122290373, 28530602.95513457, 32082966.73919487, 36341596.99874723, 41503157.23206699, 47836730.99996531, 55717866.78700745, 65682604.350364804, 78515916.06086218, 95401716.90222538, 118187933.84230733, 149877773.52984178, 195592972.12912798, 264594399.20002484, 374884815.8112025, 564829994.8009098, 926646989.9245472, 1721506265.9346533]"
14,9809330.69619258,"[7300717.550149949, 5172378.086716514, 4322811.34135456, 3843570.4469422624, 3533304.8523734324, 3317090.050609641, 3159752.0452727973, 3042321.608066298, 2953568.888582535, 2886384.7206761464, 2836036.6620993093, 2799250.5003533885, 2773692.128608927, 2757658.819868386, 2749886.8708630726, 2749427.235990949, 2755562.594395697, 2767750.5946299583, 2785584.167161107, 2808763.2803107053, 2837074.5651579797, 2870376.479946211, 2908588.4625908136, 2951683.018849492, 2999680.0213831514, 3052642.7149842083, 3110675.0742802024, 3173920.2662089914, 3242560.045736611, 3316814.969539836, 3396945.3552689254, 3483252.948012054, 3576083.283830598, 3675828.7650051266, 3782932.484649405, 3897892.86102362, 4021269.165442005, 4153688.053266719, 4295851.236325711, 4448544.46847102, 4612648.055445164, 4789149.147539616, 4979156.130984455, 5183915.504404277, 5404831.71362561, 5643490.52625525, 5901686.662791133, 6181456.5714559555, 6485117.449870348, 6815313.891884387, 7175073.890870184, 7567876.38640061, 7997733.133312494, 8469288.446935862, 8987941.399592102, 9559996.40024209, 10192849.906288266, 10895223.471293658, 11677456.678917766, 12551878.120108664, 13533278.977831542, 14639522.793590069, 15892337.80970478, 17318356.75256133, 18950495.89812976, 20829805.23475212, 23007981.708554745, 25550829.65961206, 28543096.22605604, 32095338.102336764, 36353847.89974898, 41515288.04914427, 47848740.835276246, 55729753.18308532, 65694362.90083301, 78527539.86879075, 95413195.81379461, 118199253.34064412, 149888913.10039926, 195603902.7775619, 264605079.56371188, 374895185.8484278, 564839965.1412694, 926656423.1611161, 1721514942.6908593]"
15,9986674.646862037,"[7434187.639440298, 5268751.884550042, 4404847.17314291, 3917857.5255992413, 3602857.942910172, 3383599.0208687857, 3224288.0034885556, 3105624.346922815, 3016184.0384382084, 2948736.7731659487, 2898471.151688583, 2862059.9838069305, 2837133.0559270084, 2821963.004046425, 2815269.6164332926, 2816093.330844328, 2823710.9006788135, 2837577.7059619874, 2857287.4396806806, 2882543.4470430613, 2913138.081532344, 2948937.708786696, 2989871.7813423723, 3035924.9153018, 3087131.2337527126, 3143570.466073245, 3205365.4464134723, 3272680.7630548775, 3345722.3885362446, 3424738.178484395, 3510019.171712935, 3601901.659939125, 3700770.025655851, 3807060.3736492693, 3921265.007216722, 4043937.825846508, 4175700.7483226657, 4317251.29527393, 4469371.499486953, 4632938.3524621725, 4808936.043552488, 4998470.30590564, 5202785.254158229, 5423283.186043352, 5661547.9284128845, 5919372.443684071, 6198791.583280653, 6502121.090669185, 6832004.231881082, 7191467.78446126, 7583989.571462184, 8013580.319220692, 8484883.392472237, 9003296.981707036, 9575124.674470544, 10207762.159449756, 10909930.266953528, 11691967.89593637, 12566202.984449685, 13547426.087637424, 14653500.137346983, 15906152.777105272, 17332016.137412846, 18964005.89232993, 20843171.4119308, 23021208.995426416, 25563922.292328417, 28556057.68781489, 32108171.03704858, 36366553.99449146, 41527867.87512064, 47861193.63253105, 55742076.567490816, 65706552.461455464, 78539588.60731232, 95425093.35104012, 118210984.77091372, 149900457.29815817, 195615229.82589006, 264616146.72545218, 374905931.02730894, 564850295.8472781, 926666197.1262145, 1721523932.7090526]"
16,10169407.406752322,"[7571759.280597836, 5368143.984486271, 4489499.55388901, 3994557.2739122175, 3674711.113198161, 3452347.473458752, 3291036.6387930363, 3171137.1330970377, 3081025.264543891, 3013346.263843477, 2963207.7246646807, 2927228.2269474044, 2903000.7289733887, 2888772.883104399, 2883247.9028900117, 2885455.8655660227, 2894667.9418029785, 2910337.75219436, 2932060.4166603833, 2959543.4735776484, 2992585.9692008793, 3031063.3079523295, 3074916.2605568767, 3124143.044406861, 3178793.7306367606, 3238966.4611578584, 3304805.1163580865, 3376498.185184464, 3454278.6697103977, 3538424.916349709, 3629262.312477201, 3727165.8250799477, 3832563.3905331045, 3945940.194163993, 4067843.9069205374, 4198890.975842476, 4339774.096723765, 4491271.0328891575, 4654254.985103577, 4829706.766216397, 5018729.092576772, 5222563.375418723, 5442609.482964724, 5680449.052602917, 5937873.068213046, 6216914.588443607, 6519887.727908164, 6849434.26866442, 7208579.632478267, 7600800.400120765, 8030106.156121075, 8501139.21225822, 9019296.78446287, 9590881.554619849, 10223288.365926087, 10925237.25523305, 11707066.37235403, 12581102.943047643, 13562136.8396132, 14668030.332970798, 15920510.419744492, 17346208.589027107, 18978039.86945486, 20857052.970729828, 23034943.503804922, 25577514.38632655, 28569511.208413422, 32121488.942017376, 36379738.23775846, 41540919.243011355, 47874111.52160394, 55754858.68170297, 65719194.39560473, 78552083.26666903, 95437430.1294756, 118223148.36385918, 149912425.94778836, 195626972.6558311, 264627619.564749, 374917069.6324029, 564861004.4636006, 926676328.3945289, 1721533251.2189636]"
17,10357760.255757757,"[7713610.522765521, 5470687.924211685, 4576886.370908413, 4073780.3643896542, 3748971.7727500647, 3523441.8664941713, 3360105.0204770267, 3238968.82371746, 3148204.176926665, 3080328.4033100307, 3030365.978551559, 2994879.97556974, 2971425.8037202954, 2958225.805155307, 2953966.58861167, 2957668.0774043947, 2968596.266552925, 2986203.6039486676, 3010087.392621815, 3039960.287316814, 3075629.120960608, 3116979.6101894975, 3163965.3103812635, 3216599.7177636027, 3274950.762861386, 3339137.17299138, 3409326.3424749225, 3485733.4630542994, 3568621.7498066425, 3658303.660165146, 3755143.0525354147, 3859558.2712807804, 3972026.1800402403, 4093087.19807525, 4223351.426721498, 4363505.986936063, 4514323.726126164, 4676673.494800389, 4851532.243118942, 5039999.2465902865, 5243312.841887683, 5462870.141750395, 5700250.306886226, 5957242.08878082, 6235876.528264344, 6538465.911019176, 6867650.356746107, 7226453.771953464, 7618351.352166206, 8047351.4115971625, 8518095.09324038, 9035978.53377375, 9607303.414518446, 10239463.646885842, 10941178.39553836, 11722784.989049733, 12596609.874583423, 13577442.180325627, 14683143.459327579, 15935440.008030474, 17360962.623855174, 18992625.642125845, 20871477.065998495, 23049211.773005545, 25591631.90399313, 28583482.208410203, 32135316.72762853, 36393425.05795151, 41554466.12384486, 47887518.03695011, 55768122.640202165, 65732311.40958488, 78565046.15108633, 95450228.05031204, 118235765.60772765, 149924840.10262918, 195639151.84729838, 264639518.12577558, 374928621.0742676, 564872109.6138535, 926686834.5589914, 1721542914.3852744]"
18,10551977.358934391,"[7859929.449748352, 5576524.912110761, 4667132.407263335, 4155644.0600031056, 3825753.841527555, 3596995.225458123, 3431606.9396751896, 3309235.230453275, 3217839.6414763927, 3149806.0237826705, 3100073.5618278384, 3065148.5208338574, 3042548.0442677587, 3030468.862367682, 3027580.9913608134, 3032894.4653781056, 3045670.5840654075, 3065361.297725603, 3091566.952977225, 3124006.3656109422, 3162495.3895336837, 3206931.4886077046, 3257282.6548596174, 3313579.5537446886, 3375910.130720228, 3444416.151754573, 3519291.31509538, 3600780.688484609, 3689181.311497763, 3784843.8675739467, 3888175.381809294, 3999642.9437400103, 4119778.49279657, 4249184.740649551, 4388542.341633648, 4538618.461899757, 4700276.941990316, 4874490.29835242, 5062353.869444907, 5265102.48456946, 5484130.122123897, 5721013.1333756745, 5977537.744194746, 6255732.718403161, 6557908.282953739, 6886702.690855473, 7245138.151147753, 7636688.311171472, 8065360.068715394, 8535793.26660636, 9053382.84379369, 9624429.373883247, 10256325.73928994, 10957790.144000143, 11739159.014505208, 12612757.94520855, 13593375.25181979, 14698871.70615387, 15950972.845342398, 17376308.719524562, 19007792.91790384, 20886472.686354935, 23064042.119556963, 25606302.532575905, 28597997.78469217, 32149680.93552196, 36407640.472766936, 41568534.03876209, 47901438.226392746, 55781893.03618169, 65745927.65546632, 78578500.97889376, 95463510.39798772, 118248859.34328508, 149937722.13720262, 195651789.26834846, 264651863.7045858, 374940605.97360253, 564883631.0810938, 926697734.3066525, 1721552939.3772264]"
19,10752316.652835798,"[8010914.87839048, 5685804.371410251, 4760369.839888327, 4240272.698809497, 3905178.2371762767, 3673127.643346034, 3505663.430225894, 3382059.6677842587, 3290058.36189948, 3221910.2009730563, 3172466.8422143236, 3138176.420886606, 3116517.1053447574, 3105659.742678635, 3104257.818507023, 3111311.809454143, 3126078.883769378, 3148011.2700128257, 3176713.337585047, 3211911.246238008, 3253431.2650220543, 3301184.2241800874, 3355154.4161008894, 3415391.8091308624, 3482006.798807785, 3555166.9646537006, 3635095.469370216, 3722070.857471183, 3816428.0988880396, 3918560.7909053117, 4028924.4863676727, 4148041.1626712084, 4276504.888422191, 4414988.785848856, 4564253.429626554, 4725156.869130671, 4898666.513676107, 5085873.181748152, 5288007.688696504, 5506460.436691582, 5742804.580730617, 5998823.481278628, 6276543.325705171, 6578272.017514169, 6906645.708289474, 7264684.700843483, 7655860.908138216, 8084179.644993812, 8554279.304675877, 9071553.494008958, 9642301.557618648, 10273915.239166856, 10975111.682291001, 11756226.320554674, 12629583.81246227, 13609971.584805727, 14715249.557497501, 15967142.44260925, 17392279.48134619, 19023573.458438635, 20902070.80661887, 23079464.78349638, 25621555.82486278, 28613086.846009314, 32164609.86940676, 36422412.21567345, 41583150.18149805, 47915898.769913316, 55796196.05691016, 65760068.843250155, 78592472.99167907, 95477301.94645178, 118262453.86731887, 149951095.84795856, 195664908.17310524, 264664678.94403267, 374953046.2528081, 564895589.8953953, 926709047.5012145, 1721563344.444333]"
20,10959050.804667803,"[8166777.115014421, 5798684.530440647, 4856738.7807027735, 4327798.221144665, 3987373.4058178216, 3751966.82630191, 3582403.3377268463, 3457573.5528805554, 3364995.517391406, 3296780.9365294278, 3247691.6411593035, 3214116.295189716, 3193493.395003274, 3183967.670298785, 3184176.1959032565, 3193110.2996944785, 3210023.678282663, 3234369.7292729616, 3265757.959356338, 3303923.212722227, 3348703.750045404, 3400025.597352773, 3457891.4531858712, 3522373.0010710657, 3593605.84261854, 3671786.5156622976, 3757171.234882027, 3850076.116213277, 3950878.7382395566, 4060020.964971289, 4178013.0126394182, 4305438.793772057, 4442962.61896874, 4591337.383679837, 4751414.416823357, 4924155.222968549, 5110645.413020402, 5312111.193135917, 5529938.871940672, 5765697.956878036, 6021168.547919929, 6298373.908909351, 6599619.314003974, 6927538.542903811, 7285149.7523341775, 7675922.907518268, 8103861.549960643, 8573602.45305252, 9090537.738655716, 9660965.384846807, 10292275.87231955, 10993185.171831429, 11774027.621701479, 12647126.851131082, 13627269.312334836, 14732313.994347036, 15983984.710906565, 17408909.825790465, 19040001.254640043, 20918304.555411935, 23095512.089060724, 25637423.353560925, 28628780.261577368, 32180133.738372624, 36437769.87436497, 41598343.55236542, 47930928.10951233, 55811059.609772086, 65774762.363346934, 78606989.07341838, 95491629.07511246, 118276575.04550755, 149964986.56309783, 195678533.30847764, 264677987.93718672, 374965965.2357223, 564908008.4292295, 926720795.2729158, 1721574148.9988232]"
21,11172468.251244217,"[8327738.775556654, 5915333.063571356, 4956387.865039494, 4418360.743752103, 4072475.900941737, 3833648.6895717084, 3661963.941992067, 3535917.0627558753, 3442795.4622507915, 3374567.907919392, 3325904.042166747, 3293131.7000921816, 3273649.0270869806, 3265574.445796564, 3267528.8076093197, 3278494.789198056, 3297723.3849948347, 3324670.1837602705, 3358951.098454371, 3400311.178069964, 3448602.459704682, 3503768.235095978, 3565831.9920900613, 3634889.8614883125, 3711105.775961265, 3794708.8026910126, 3885992.289131567, 3985314.589214757, 4093101.233072877, 4209848.47852312, 4336128.245075464, 4472594.4868055135, 4619991.113382757, 4779161.62247476, 4951060.664874196, 5136767.8293020725, 5337504.010426313, 5554650.815331608, 5789773.575467944, 6044648.669292927, 6321296.033474416, 6622017.958193511, 6949445.538671553, 7306594.509125233, 7696932.641845375, 8124461.486865789, 8593816.003020316, 9110386.652947605, 9680469.891716331, 10311454.796131253, 11012056.036718339, 11792606.741048038, 12665429.403841496, 13645309.406530559, 14750104.718813598, 16001538.174262881, 17426237.18296349, 19057112.719764113, 20935209.39969623, 23112218.621435583, 25653938.88093573, 28645111.02422154, 32196284.81408894, 36453745.04251176, 41614145.10500121, 47946556.591341496, 55826513.46013236, 65790037.42047024, 78622077.8806442, 95506519.89546728, 118291250.43563938, 149979421.26242507, 195692691.0305829, 264691816.34013224, 374979387.756376, 564920910.5014553, 926733000.1165142, 1721585373.7055154]"
22,11392874.325489508,"[8494035.675655013, 6035927.787898254, 5059474.8922189325, 4512109.185723562, 4160631.015481472, 3918318.0091921017, 3744491.6387536675, 3617239.8550742194, 3523612.4944529757, 3455431.2935262024, 3407271.281623028, 3375398.0953384116, 3357168.8743642867, 3350675.5980525613, 3354523.160382271, 3367686.1866574436, 3389413.86437054, 3419165.1457921714, 3456563.7957472205, 3501366.794144973, 3553441.977782622, 3612752.2497504503, 3679344.5888188183, 3753342.6730558425, 3834942.316547081, 3924409.1793693155, 4022078.3938298076, 4128355.882486135, 4243721.2436495125, 4368732.15987584, 4504030.352638751, 4650349.16792655, 4808522.937611192, 4979498.324055016, 5164347.924321085, 5364286.489386708, 5580690.207281828, 5815119.612250477, 6069346.821268588, 6345387.972710818, 6645541.960252851, 6972436.832163125, 7329085.580596149, 7718953.502286464, 8146039.905047178, 8614977.709994018, 9131155.521320254, 9700868.092680246, 10331502.93671006, 11031773.279225111, 11812010.906341255, 12684537.059586644, 13664135.941310585, 14768664.402570605, 16019844.205170035, 17444301.720399737, 19074946.90256715, 20952823.348259687, 23129621.42143929, 25671138.545476437, 28662114.429724813, 32213097.603465915, 36470371.486299515, 41630587.90728831, 47962816.62145853, 55842589.382317305, 65805925.18018103, 78637769.98483634, 95522004.38955903, 118306509.42228043, 149994428.70828676, 195707409.4319017, 264706191.49512434, 374993340.2777169, 564934321.4908185, 926745685.9982142, 1721597040.579876]"
23,11620592.47909374,"[8665917.797653517, 6160657.421345066, 5166167.52366291, 4609201.951706018, 4251993.4727810845, 4006129.1354938596, 3830142.6871895716, 3701701.859803818, 3607611.701112747, 3539542.681756355, 3491972.7319444716, 3461103.9125236794, 3444251.734731689, 3439481.6621127874, 3445382.9888567626, 3460923.0066644102, 3485350.1356966197, 3518128.036228895, 3558889.972826779, 3607406.8181839585, 3663564.5056229234, 3727348.211952418, 3798831.474964604, 3878169.0441872478, 3965592.657019794, 4061409.200454861, 4166000.907105416, 4279827.371938124, 4403429.2814272195, 4537433.832161412, 4682561.889836937, 4839637.008444995, 5009596.498379856, 5193504.80567351, 5392569.546957344, 5608160.640768349, 5841833.090857595, 6095354.117803872, 6370735.509765387, 6670272.282317519, 6996589.015027046, 7352695.587361962, 7742054.49370867, 8168662.510575235, 8637150.264810681, 9152904.273765564, 9722217.385693997, 10352475.366286218, 11052389.832317978, 11832291.080174029, 12704498.963871717, 13683796.384471297, 14788038.962646186, 16038947.28565526, 17463146.59081018, 19093545.722979546, 20971187.176430404, 23147760.200279236, 25689061.067588925, 28679828.27426207, 32230609.03855282, 36487685.32743847, 41647707.31805217, 47979742.83672452, 55859321.32516098, 65822458.929472804, 78654098.02836812, 95538114.56153822, 118322383.3641249, 150010039.5887866, 195722718.48030782, 264721142.565212, 375007851.02135205, 564948268.459966, 926758878.4724851, 1721609173.0951505]"
24,11855965.610900024,"[8843650.342283504, 6289722.408498146, 5276644.044577926, 4709807.678495612, 4346728.182853259, 4097246.775265053, 3919084.0306951255, 3789474.1498438865, 3694969.889809139, 3627086.074140236, 3580200.9882042184, 3550451.738039516, 3535111.6246447265, 3532219.598986089, 3540349.819666803, 3558463.0985996127, 3585808.2941347808, 3621855.316580683, 3666248.8101983964, 3718775.772995159, 3779342.8460701406, 3847960.50694485, 3924732.3432269245, 4009848.1904043853, 4103580.3205385506, 4206282.144074425, 4318389.0818127245, 4440421.407650366, 4572988.974041551, 4716797.824017793, 4872658.775080562, 5041498.138146758, 5224370.814632297, 5422476.101827562, 5637176.636163205, 5870021.021549791, 6122770.832523227, 6397432.857893556, 6696297.670803726, 7021985.889644802, 7377503.84986794, 7766310.8644096255, 8192400.844142377, 8660401.825823933, 9175697.977350563, 9744580.007686019, 10374431.726573229, 11073962.954345495, 11853502.32901299, 12725368.164725304, 13704341.923015356, 14808277.868125439, 16058895.297183573, 17482818.206807137, 19112954.233097196, 20990344.67462325, 23166677.576804638, 25707747.97658831, 28698293.072055995, 32248858.68568492, 36505725.24454206, 41665541.18133438, 47997372.29255712, 55876745.59375453, 65839674.25296223, 78671096.89550841, 95554884.60377038, 118338905.75541353, 150026286.67461014, 195738650.1712587, 264736700.68156004, 375022950.1094973, 564962780.2910964, 926772604.8098288, 1721621796.2995067]"
25,12099357.511698628,"[9027514.873677066, 6423335.821236141, 5391094.195972219, 4814106.051880375, 4445011.071133226, 4191846.8502865285, 4011494.1992753223, 3880739.899816908, 3785876.6159504727, 3718258.9937627465, 3672163.070945427, 3643659.6248201877, 3629979.2159665823, 3629134.37577419, 3639684.7154750526, 3660585.578095332, 3691087.656621352, 3730668.8804655075, 3778987.420299843, 3835848.9433358014, 3901183.7718905956, 3975031.131925583, 4057528.640367642, 4148905.8013015836, 4249480.694224417, 4359659.321087703, 4479937.280729577, 4610903.589674622, 4753246.586725771, 4907761.9586009085, 5075363.014592409, 5257093.427263558, 5454142.74982208, 5667865.125025421, 5899801.7215539515, 6151707.578935057, 6425583.720007807, 6723715.611592442, 7048719.333683282, 7403597.173933119, 7791804.822531462, 8217332.936784238, 8684806.621164292, 9199607.391243696, 9768023.547729611, 10397436.704749703, 11096554.671891272, 11875704.236467838, 12747201.999492407, 13725827.826196373, 14829434.481854916, 16079739.843148172, 17503366.54606682, 19133220.906689882, 21010342.92368734, 23186419.34002477, 25727243.86157596, 28717552.29567796, 32267888.976160526, 36524532.695031345, 41684130.04028201, 48015744.669478774, 55894901.04924464, 65857609.22644484, 78688803.90016794, 95572351.07911062, 118356112.40297806, 150043204.99095988, 195755238.69458556, 264752899.1048572, 375038669.7204609, 564977887.8345234, 926786894.1366763, 1721634936.9443078]"
26,12351154.437331596,"[9217810.567381265, 6561724.342072725, 5509720.084585939, 4922288.701452509, 4547029.98784335, 4290117.440946735, 4107564.3030313775, 3975695.4434508756, 3880535.317736849, 3813273.7119314745, 3768081.7596771494, 3740962.549252607, 3729103.4347853065, 3730490.727255672, 3743670.2230468392, 3767592.988754511, 3801513.1684755236, 3844918.741210282, 3897483.8579768986, 3959035.758017212, 4029531.8364507705, 4109044.002030164, 4197748.44694373, 4295919.586539581, 4403927.350883365, 4522237.302484408, 4651413.264423907, 4792122.301403567, 4945142.023174614, 5111370.289263457, 5291837.496075451, 5487721.730400354, 5700367.184256524, 5931306.351954669, 6182286.678985059, 6455302.51288408, 6752633.429896027, 7076890.292394459, 7431070.749614537, 7818626.353453338, 8243544.055973142, 8710445.632222742, 9224709.595040113, 9792621.52662602, 10421560.569846928, 11120232.277776778, 11898961.36709857, 12770062.528104067, 13748313.851459086, 14851566.441870928, 16101536.608273804, 17524845.490903735, 19154397.960897386, 21031232.600453496, 23207034.74004966, 25747596.649148762, 28737652.64175427, 32287745.461040318, 36544152.1600073, 41703517.372965455, 48034902.500652075, 55913829.328764796, 65876304.629813075, 78707258.99229324, 95590553.12117231, 118374041.62066579, 150060832.0062877, 195772520.61751413, 264769773.40237212, 375055044.2591555, 564993624.071557, 926801777.5887585, 1721648623.6247034]"
27,12611766.82341606,"[9414855.572199797, 6705129.339076549, 5632737.179257702, 5034560.18208202, 4652985.707124919, 4392259.824778967, 4207499.127481304, 4074551.4413848966, 3979164.5718748644, 3912358.607803695, 3868197.073622927, 3842614.031995073, 3832753.2435041964, 3836575.123234555, 3852612.5532189906, 3879813.7261488438, 3917438.1076642275, 3964986.05837442, 4022150.518112153, 4088783.6156597733, 4164873.6943945736, 4250529.844432682, 4345972.03739056, 4451525.611420408, 4567619.2900532335, 4694786.220729664, 4833667.737956539, 4985019.723645955, 5149721.57433036, 5328787.90624091, 5523383.245580435, 5734840.071749598, 5964680.714068651, 6214643.756223828, 6486715.786870569, 6783169.561188549, 7106609.921355277, 7460029.183020502, 7846874.155228049, 8271127.556999177, 8737407.371456742, 9251088.701946735, 9818454.053150445, 10446879.778672665, 11145068.892383695, 11923343.788101166, 12794017.019450545, 13771864.699277401, 14874736.088015914, 16124345.759922862, 17547313.206837714, 19176541.714326918, 21053068.317378104, 23228576.811069608, 25768857.911308587, 28758644.3252241, 32308477.093022168, 36564631.414871395, 41723749.8527478, 48054891.42288971, 55933575.0878669, 65895804.18158448, 78726504.98506498, 95609532.65465176, 118392734.44312608, 150079207.83972502, 195790535.08573866, 264787361.64241338, 375072110.54432034, 565010024.2933173, 926817288.4794354, 1721662886.9339342]"
